aid;last_update_on;remaining_effort;titre;initial_effort;assigned_to;status;type_de_demande;submitted_on;liens;"liens (Sans nature)";"liens (Relates)";"liens (_covered_by)";"liens (_is_child)";ads_d_appartenance;references;submitted_by;lien_ticket_jira;last_update_by;autres_ads_ayant_rencontr__s_le_m__me_bug;num__ro_ticket_diad__me_1;sprint_de_correction_1;bloc;version_corrective_111;priorit___dp;s__v__rit___dp_roc;acc__s_utilis__;url_de_la_page_sur_laquelle_le_bug_a___t___rencontr__;version_de_roc;profil_utilis__;close_date;details;id_technique;description_du_bug;s__v__rit___du_bug;capture_d___cran__avec_le_bloc_date_heure_
469444;"01/20/2026 20:06";;"Exportation fichier historique des rejets";;;"En attente de prise en compte dans l'usine logicielle";;"05/05/2025 11:02";;;;;;AF;;j_pelletier6;ROC-2731;j_kahn1;;;;Activités;;;Mineur;"Poste Intradef";https://reservistes.intradef.gouv.fr/interne/admin/activites/recherche-rejet-id-flux;a_definir;"Profil AF";;"Dans la gestion des rejet, exportation du fichier ""Historique des rejets"".";;"Le fichier est vide, perte de l'historique.";Majeur;"2025_05_05_09h48_export_historique_rejets_activites.csv,Gestion des rejets.docx,2025_11_07_17h38_export_historique_rejets_activites.csv"
678012;"01/20/2026 20:13";;"[Engagement] Valeurs obligatoires pour grille d'évaluation de l'entretien";;;"En attente de prise en compte dans l'usine logicielle";;"01/20/2026 15:48";;;;;;"DP ROC";;b_poiron_ext;ROC-2954;j_kahn1;;;;Candidature;;;Mineur;;;V7.5.1;;;;;"*Environnement :* Pprod V7.5.1 DR

*Identifiants :* 119_utilisateur

*Description :* 

En tant que referent, 

Je choisis un candidat n'ayant pas validé l'entretien en unité, 

Je clique sur le candidat, 

Je clique sur le bloc entretien en unité, 

Je remplis le résultat {*}sans compléter la grille d'évaluation de l'entretien{*}, 

Je valide 

*Résultat attendu :* 

Pouvoir valider sans avoir complété la grille d'évaluation 

*Résultat obtenu :* 

Erreur, les champs sont obligatoires ";;
678013;"01/20/2026 20:13";;"Titre : [Activité] mauvaise liste ATS";;;"En attente de prise en compte dans l'usine logicielle";;"01/20/2026 15:48";;;;;;"DP ROC";;b_poiron_ext;ROC-2929;j_kahn1;;;;Activités;;;Majeur;;;V7.5.1;;;;;"*+Titre :+* [Activité] mauvaise liste ATS

*Environnement :* PICSEL DR, V7.5.1

*Identifiant :* 12743_utilisateur

*Description :* 

le profil 12743_utilisateur possède 3 role : REF, PIL et AF

Scenario 1. création d'une activité de regul par le REF puis la clôturer avec le même profil puis la mettre a la signature avec le même profil

Scenario 2. création d'une activité de regul par le PIL puis la clôturer avec le même profil puis la mettre a la signature avec le même profil

Scenario 3. clôturer une activité en tant qu'AF puis la mettre a la signature avec le même profil

 

*Résultat attendu :*

chaque role possède sa propre liste d'ATS

en tant que REF je dois avoir 2 ATS

en tant que PIL je dois avoir 11 ATS

en tant que AF je dois avoir tout les  ATS disponible

*Résultat obtenu :* 

pour chaque rôle a la signature je possède seulement les 2 ATS du référent";;
527197;"01/20/2026 20:15";;"Numéro ADS demandé lors d'un changement de données personelles réalisé par l'AF";;;"En attente de prise en compte dans l'usine logicielle";"Non classé";"07/16/2025 16:12";;;;;;ADT;;j_saint_julien;ROC-2615;j_kahn1;SSA;;;Données_perso;;P1;Mineur;;htpps://reservistes.intradef.gouv.fr/interne/admin/utilisateurs/reserviste/modifier/51112;V5.4.4;AF;;"Lorsqu'un AF veut changer une donnée personnelle d'un réserviste (dans notre cas c'était un changement d'adresse mail) un ""numéro d'ADS"" est alors demandé. Ce numéro ne nous est pas connu. Cette demande est apparue avec la V5. ";51112;;Bloquant;"RE  LCL (r) DUBON - PB DE CONNEXION ROC.msg,Numéro ADS préproduction.docx"
527925;"01/20/2026 20:18";;"[Droits] Erreur dans le nom du menu déroulant";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-2013;j_kahn1;;;;Droits;;;Majeur;;;V5.4.1;;;;;"Voir PJ, erreur de saisie du nom du rôle lors d'une affiliation (voir menu déroulant en haut à droite de la PJ"": 

Pilote : 7374_utilisateur - Rôle ""PIL - {*}SSA{*}"" 

Affilié : Créé par mes soins - Rôle ""AFF - PIL - {*}AAE{*}"". Les rôles affiliés sont les bons, et appartiennent bien au SSA";;
527926;"01/20/2026 20:18";;"[Droits] - AO - Décocher la délégation de l'espace qualité ne fonctionne pas";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-2011;j_kahn1;;;;Droits;;;Majeur;;;V5.4.1;;;;;"*Identifiants :*

AO : 7374_utilisateur  Délégataire : créé par mes soins en Pprod : 7374_utilisateur -> gestion des délégataires -> créer un délégataire -> rôle AO

*Description :* Je me connecte en tant qu'AO, je clique sur gestion des délégataires -> éditer une délégation d'AO. Je coche toutes les fonctions à déléguer sauf le bloc espace qualité. 

*Résultat attendu :* pas d'accès à l'espace qualitié

*Résultat obtenu :* accès à l'espace qualité 

_J'ai testé tout le reste, tout fonctionne sauf l'espace qualité._";;
527957;"01/20/2026 20:18";;"[Export] IHM incohérence de message d'erreur sur un export d'activité avec erreur de date";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-1954;j_kahn1;;;;Extraction;;;Mineur;;;V4.20.0.8;;;;;"| |Ticket JIRA N°| | |
| |   Environnement/ Version| |Tous les environnements
 |
| |   Titre de l'anomalie| |[export] - IHM mauvais message d'erreur dans le cas d'un export massif avec un jour inexistant (31/04/2025)|
| |   Url| |[https://reservistes.intradef.gouv.fr/interne/admin/qualite|https://roc-front-dr-pre.picsel.defense.gouv.fr/interne/engager/engagement/processus-candidature/240895]|
| |   Acteur| |AF|
| |   Identifiants| |alexandre.courreur|
| |   Mot de passe| | |
| |   Anomalie| |Mineur|
| |   Configuration| |Firefox|
| |   Bloc| |Export|
| |   Description| | - Avec un compte AF sur intradef interne/login
 - Lors d'une tentative d'export massif des activités du 01/04/2025 au 31/04/2025 les messages d'erreurs erronés ci-dessous apparaissent
 - Le date de début doit etre antérieur à la date de fin
 - La date de fin est obligatoire
 |
| |Résultat obtenu| |Message IHM incohérent
 - Le date de début doit etre antérieur à la date de fin
 - La date de fin est obligatoire|
| |Résultat attendu| |A voir précisement avec le PO mais le problème réside sur une erreur de date de fin inexistante|";;
527975;"01/20/2026 20:18";;"[Droits] Suppression du rôle ATS du REF de l'unité non effectif";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-1908;j_kahn1;;;;Droits;;;Bloquant;;;V5.4.1;;;;;"*Titre* : [Droits] Suppression du rôle ATS du REF de l'unité non effectif

*Configuration* : Pprod V.5.4.1

*Identifiant* :

Ref : 2693_utilisateur

Le Ref a le rôle d'ATS dans l'unité dont il est référent au début de ce test

*Descriptif :* En tant que référent ET ATS de mon unité, je supprime mon rôle d'ATS de mon unité. 

*Résultat attendu :* Ne plus pouvoir exercer le rôle d'ATS. 

*Résultat obtenu :* Je peux exercer le rôle d'ATS de l'unité même si je n'ai plus le rôle (voir screenshots)";;
528054;"01/20/2026 20:18";;"[E-billets] Erreur de tri sur tableau e-billet internet et intradef";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-1610;j_kahn1;;;;E-billet;;;Mineur;;;V4.20.0.7;;;;;"*Descriptif :*

Sur intradef et internet, pour la partie e-billet : les colonnes entourées en rouge (PJ) ne permettent pas de filtrer les infos

*Résultat attendu*

Le tableau se filtre

*Résultat obtenu :*

Erreur sur les filtres

*Log pour infos complémentaires :* 

[2025-04-29 10:01:25] app.CRITICAL: [ErreurWS] [400] Erreur serveur sur ""GET /in/ressources-humaines/roc-synchro/v7/api/commandes-billets"" | \{""status"":400,""details"":""Le param\u00e8tre 'tri' est incorrect. Valeur renseign\u00e9e : 'action'. Les valeurs autoris\u00e9es sont : DT_RowId, numeroOrdreTransport, dateDemande, refCommandeEtapeId"",""type"":""https://developer.mozilla.org/fr/docs/Web/HTTP/Status/400"",""title"":""Bad Request""} | Parametres : format=datatable&page=0&taille=50&sens=asc&tri=action&etape=3  ";;
528062;"01/20/2026 20:18";;"[Parcours Candidat] La mise à jour de la tuile Vérification de sécurité ne se fait pas";;;"En attente de prise en compte dans l'usine logicielle";;"07/17/2025 15:21";;;;;;"DP ROC";;b_poiron_ext;ROC-1497;j_kahn1;;;;Candidature;;;Mineur;;;V4.20.0.7;;;;;"*Titre* : [Parcours candidat] La mise à jour de la tuile Vérification de sécurité ne se fait pas

*Configuration* : PPROD V4.20.0.7

*URL* : pprod-reserviste.cloud.defense.gouv.fr

*Identifiant :* 

Candidat : 246529_candidat.roc
REF : 411_utilisateur

*Descriptif* :

Lorsque le candidat a téléversé son CR, la date de mise à jour de la tuile n'est pas modifiée, tant du côté du candidat que du côté du référent, alors même que du côté du référent, une fois que nous avons cliqué sur la tuile, il est bien indiqué que le CER a été téléversé le 14/04/2025.

La MAJ ne se fait pas non plus après validation du CER par le correspondant sécurité.

*Résultat attendu* : 

Que la date de MAJ de la tuile se mette à jour des deux côté

*Résultat obtenu :* 

La date de MAJ de la tuile n'est pas réalisée

 ";;
