aid,status
648797,Annulé
598682,En cours de résolution et de qualification
648898,En cours de résolution et de qualification
527906,En cours de résolution et de qualification
528076,Annulé
648690,Annulé
677961,Annulé
677966,Annulé
677967,Annulé
677977,Annulé
677982,En cours de résolution et de qualification
677986,En cours de résolution et de qualification
677992,Annulé
677993,Annulé
677994,Annulé
677999,En cours de résolution et de qualification
678009,Annulé
475486,En cours de résolution et de qualification
527924,En cours de résolution et de qualification
528000,En cours de résolution et de qualification
648781,En cours de résolution et de qualification
598010,Annulé
528009,En attente de prise en compte dans l'usine logicielle
650159,En cours de résolution et de qualification
650163,En cours de résolution et de qualification
650164,En cours de résolution et de qualification
650166,En cours de résolution et de qualification
648878,En cours de résolution et de qualification
527895,En cours de résolution et de qualification
652504,En cours de résolution et de qualification
656836,En cours de résolution et de qualification
677965,Corrigé en production
677968,Corrigé en production
677971,Corrigé en production
677972,Corrigé en production
677973,Corrigé en production
677984,Corrigé en production
677985,Corrigé en production
677991,Corrigé en production
677998,Corrigé en production
678006,Corrigé en production
678007,Corrigé en production
678010,Corrigé en production
678011,Corrigé en production
678015,Corrigé en production
678019,Corrigé en production
678020,Corrigé en production
678021,Corrigé en production
678023,Corrigé en production
678024,Corrigé en production
678025,Corrigé en production
677962,Corrigé en production
677964,Corrigé en production
648727,Corrigé en production
672758,Corrigé en production
677484,Corrigé en production
672951,Corrigé en production
482411,En cours de résolution et de qualification
688471,En cours de résolution et de qualification
686979,En cours de résolution et de qualification
677988,En cours de résolution et de qualification
677976,En cours de résolution et de qualification
648716,Annulé
590096,Annulé
648694,Annulé
717947,En attente de prise en compte dans l'usine logicielle
714526,En attente de prise en compte dans l'usine logicielle
677990,En attente de prise en compte dans l'usine logicielle
677983,En attente de prise en compte dans l'usine logicielle
648805,En attente de prise en compte dans l'usine logicielle
648799,En attente de prise en compte dans l'usine logicielle
598625,Annulé
